dc_gain,dc_valid,error,name,nyquist_gain,peaking_boost,power,process,pvt_pass,status,temperature_c,vdd
9.928897707873633,True,,TT_0.95V_0C,15.593029224040135,5.664131516166503,0.00130029727199195,TT,True,pass,0.0,1.14
9.534701734886777,True,,TT_0.95V_62.5C,14.899732386113062,5.365030651226284,0.00130029727199195,TT,True,pass,62.5,1.14
9.058593511152269,True,,TT_0.95V_125C,14.089773565786377,5.031180054634108,0.00130029727199195,TT,True,pass,125.0,1.14
9.963916884880346,True,,TT_1.00V_0C,15.645656491181965,5.681739606301619,0.001368733970517842,TT,True,pass,0.0,1.2
9.57399759492194,True,,TT_1.00V_62.5C,14.955772922059499,5.381775327137559,0.001368733970517842,TT,True,pass,62.5,1.2
9.10445353174548,True,,TT_1.00V_125C,14.152426687372321,5.04797315562684,0.001368733970517842,TT,True,pass,125.0,1.2
9.99497583881934,True,,TT_1.05V_0C,15.692094653955044,5.697118815135704,0.0014371706690437342,TT,True,pass,0.0,1.26
9.608405056303278,True,,TT_1.05V_62.5C,15.004251720586916,5.3958466642836385,0.0014371706690437342,TT,True,pass,62.5,1.26
9.143890760177117,True,,TT_1.05V_125C,14.205442253328473,5.061551493151356,0.0014371706690437342,TT,True,pass,125.0,1.26
10.017099940906476,True,,SS_0.95V_0C,15.721498818210723,5.704398877304246,0.00130029727199195,SS,True,pass,0.0,1.14
9.612167715854627,True,,SS_0.95V_62.5C,15.004719894374457,5.39255217851983,0.00130029727199195,SS,True,pass,62.5,1.14
9.12838524083247,True,,SS_0.95V_125C,14.176353136264332,5.047967895431862,0.00130029727199195,SS,True,pass,125.0,1.14
10.049909144011924,True,,SS_1.00V_0C,15.772181635398644,5.72227249138672,0.001368733970517842,SS,True,pass,0.0,1.2
9.648284233652392,True,,SS_1.00V_62.5C,15.057535263467406,5.409251029815014,0.001368733970517842,SS,True,pass,62.5,1.2
9.169316459245406,True,,SS_1.00V_125C,14.23325459658182,5.063938137336413,0.001368733970517842,SS,True,pass,125.0,1.2
10.079438022695559,True,,SS_1.05V_0C,15.817702019794488,5.7382639970989295,0.0014371706690437342,SS,True,pass,0.0,1.26
9.68046171796423,True,,SS_1.05V_62.5C,15.10427483812701,5.42381312016278,0.0014371706690437342,SS,True,pass,62.5,1.26
9.205270971819505,True,,SS_1.05V_125C,14.282693614568965,5.077422642749459,0.0014371706690437342,SS,True,pass,125.0,1.26
9.920807167223192,True,,FF_0.95V_0C,15.583575311696087,5.662768144472896,0.00130029727199195,FF,True,pass,0.0,1.14
9.526873843235508,True,,FF_0.95V_62.5C,14.893545884496518,5.36667204126101,0.00130029727199195,FF,True,pass,62.5,1.14
9.047750204368663,True,,FF_0.95V_125C,14.081659711646754,5.033909507278091,0.00130029727199195,FF,True,pass,125.0,1.14
