timestep,reward,dc_valid,peaking_boost,power,eye_vertical_v,eye_horizontal_ui,all_specs_met,generation
25,-1.0287809811898008,True,3.968374978760737,0.0020575619623796016,0.28936920000000005,0.84,False,4
26,-3.5990837608945974,True,-1.0750303937368706,0.0015684463069169953,0.021585000000000076,0.32,False,4
27,20.30470054486816,True,5.481376720880224,0.0015650998183772797,0.3492792,0.92,True,4
28,-2.5351786312631606,True,-0.008546119522600648,0.0010869493352255392,0.06707189999999996,0.52,False,4
29,-3.1319968075644833,True,0.4827147633616544,0.0022229202573700703,0.05463960000000012,0.42,False,4
30,19.36170555244465,True,9.308647873178662,0.001276588895110697,0.28141150000000004,0.7,True,4
31,19.196956021691978,True,5.559160577938625,0.001934347992769341,0.39734139999999996,0.88,True,4
32,-1.1961574576557383,True,10.351896421507824,0.0023923149153114768,0.2747806,0.7,False,4
33,-1.2291120288953659,True,10.03824570611247,0.0015445936577907326,0.18579620000000008,0.56,False,5
34,-1.031470322159494,True,5.084095663767577,0.002062940644318988,0.3192163,0.86,False,5
35,20.222560207013238,True,7.6830879654293796,0.0011313595859735247,0.2894120000000001,0.82,True,5
36,19.621179625907903,True,8.432023198543746,0.001043355033898475,0.27204170000000005,0.72,True,5
37,20.040632400855667,True,6.296936330146961,0.0016330209125743841,0.33561699999999994,0.82,True,5
38,20.244339287231423,True,5.136206956153208,0.0015852202375895266,0.3160649,0.9,True,5
39,-2.705498154393682,True,0.011303017024362205,0.002134083653470272,0.139444,0.56,False,5
40,20.033103310633123,True,8.13034151500701,0.0013623648073051856,0.34589400000000003,0.8,True,5
41,19.874887128579743,True,5.737651528580143,0.001708370957140086,0.32494899999999993,0.84,True,6
42,-1.728508364527741,True,11.027434981310243,0.0023181510147697675,0.17192749999999996,0.52,False,6
43,-0.673704503580298,True,6.878665950504278,0.0011101562071605957,0.22034339999999997,0.76,False,6
44,-0.7814919896610262,True,8.558920373623934,0.0014486982650363384,0.3180828000000001,0.66,False,6
45,20.02869622702684,True,6.5812018539570225,0.0010854646888034723,0.30556360000000005,0.78,True,6
46,19.839671338198084,True,8.0945713822342,0.001368621323603835,0.27619910000000003,0.86,True,6
47,19.699130877474055,True,7.93203320878732,0.0014588811021947505,0.29022530000000013,0.76,True,6
48,19.613848686542028,True,7.067639318036859,0.0008555266269159481,0.2520806,0.76,True,6
49,19.550318499446114,True,6.699439829105046,0.0011982710011077698,0.2574726999999999,0.78,True,7
50,20.40199985385091,True,5.044807587986293,0.0011960002922981787,0.3331232999999999,0.84,True,7
51,19.25123174990243,True,8.458983160146197,0.0014975365001951416,0.2770728,0.7,True,7
52,20.12680481022564,True,7.560809494702977,0.0012075543795487225,0.2865291000000001,0.84,True,7
53,-0.6282820246530448,True,6.913226733607894,0.0011021240493060895,0.23069499999999998,0.7,False,7
54,-0.8076882706785191,True,8.131717293228416,0.0009818915127856101,0.19938580000000006,0.62,False,7
55,-3.495516280404704,True,0.4954445860172214,0.0017379252943446988,0.009217399999999987,0.12,False,7
56,19.23717827345023,True,5.346125387214043,0.0019209405755165904,0.35822619999999994,0.9,True,7
57,20.22989874915346,True,6.830651423426588,0.000955122501693074,0.2853729999999999,0.92,True,8
58,-0.5848922766695328,True,5.375814966936362,0.0006836448961962085,0.19637539999999998,0.68,False,8
59,20.028907123293223,True,6.195222353780309,0.0010827137534135556,0.2785132000000001,0.8,True,8
60,20.216843840600486,True,5.015551399570377,0.0012805980330847441,0.3802453,0.82,True,8
61,-0.5868063861946056,True,6.852659668347654,0.0009324911723892114,0.21985980000000005,0.7,False,8
62,20.245274983167803,True,4.3667903680754705,0.0015094500336643956,0.36486849999999993,0.84,True,8
63,-0.5621881659875195,True,6.203830383374033,0.0008681866176893256,0.23226200000000008,0.66,False,8
64,20.740086730567263,True,5.0868773075289795,0.0009669185388654687,0.3111772999999999,0.9,True,8
65,-0.5258712954612387,True,6.22196235271621,0.0010346113909224768,0.24785859999999993,0.74,False,9
66,20.002949180651047,True,4.402738821990772,0.0011835976386979012,0.2797374,0.86,True,9
67,20.289162938380798,True,4.401697083361599,0.0010677061232383998,0.29115079999999993,0.88,True,9
68,19.77560602460388,True,8.196680003811869,0.0013059308079350978,0.3272305,0.76,True,9
69,20.24413816341063,True,6.179050103775843,0.0009573716731787404,0.2861412,0.92,True,9
70,20.376294900891242,True,5.523888017862628,0.0012474101982175173,0.3073638999999999,0.84,True,9
71,20.680896965220555,True,4.029394197877872,0.0009644100695588979,0.3081551000000001,0.88,True,9
72,19.795525705720703,True,7.491753607667436,0.0010967005885586,0.26719380000000004,0.82,True,9
73,-0.976125223677401,True,2.886890618919466,0.0012523369933011125,0.1719366,0.78,False,10
74,19.711862334774015,True,3.794608118521669,0.001146771330451971,0.2642624,0.82,True,10
75,20.77031634029179,True,4.591011376255116,0.0010548193194164263,0.31488630000000006,0.9,True,10
76,-2.0003398406341217,True,0.14404541252754388,0.00047112252771517465,0.07537299999999969,0.62,False,10
77,20.721154563580633,True,4.693935601843592,0.001129119444267304,0.3507668999999999,0.88,True,10
78,-0.7452953070866982,True,2.757638799742045,0.0007242100806680931,0.17439919999999998,0.76,False,10
79,20.17982645222091,True,4.244122268301965,0.0013546328098438907,0.338967,0.82,True,10
80,-0.8349410739076141,True,3.740136806607656,0.0012204925478152273,0.1938262999999999,0.8,False,10
81,20.628158348897614,True,5.597393470158178,0.0013151118736333385,0.34156259999999994,0.88,True,11
82,-0.9470346711930469,True,2.2638796340579788,0.0007561072317580788,0.16909809999999992,0.72,False,11
83,20.578201427536996,True,5.264536795228182,0.0008826131449260012,0.3009754,0.88,True,11
84,19.680707244506078,True,4.947981760851507,0.0008723695109878417,0.2558446,0.9,True,11
85,20.481148134132486,True,4.634303034208838,0.0013234180174493111,0.33839339999999996,0.86,True,11
86,20.691131229051294,True,5.380129675773864,0.001189166113325982,0.3375865,0.88,True,11
87,-0.8203657081350618,True,2.116437579221383,0.0008157538024177119,0.22050799999999993,0.72,False,11
88,-0.6721024640073748,True,2.7340864647960075,0.0009311668378787542,0.22052969999999994,0.76,False,11
89,20.578994978954736,True,4.705412789588728,0.0014134386135190961,0.318207,0.88,True,12
90,20.055201546164973,True,4.406760440619415,0.0012578929076700464,0.2842073999999999,0.86,True,12
91,19.449865865332363,True,4.0705574712658645,0.0013198242693352677,0.2554889,0.82,True,12
92,-1.122497586919851,True,2.564175992847357,0.00136030343573794,0.1757322,0.72,False,12
93,20.6546397017552,True,5.055246391604097,0.001111444596489596,0.3105181,0.92,True,12
94,20.37343332750876,True,6.405727200151619,0.0012531333449824803,0.3340637000000001,0.84,True,12
95,19.900000733142864,True,4.02047567238769,0.001260534533714274,0.2765134,0.84,True,12
96,19.79361359835708,True,4.54445501220693,0.0011357568032858453,0.26807460000000005,0.88,True,12
