time_s,differential_output_v
0.0,-0.3223956
2e-14,-0.3223956
4e-14,-0.3223956
8e-14,-0.3223956
1.6e-13,-0.3223956
3.2e-13,-0.3223956
6.4e-13,-0.3223956
1.28e-12,-0.3223956
2.56e-12,-0.3223956
4.56e-12,-0.3223956
6.56e-12,-0.3223956
8.56e-12,-0.3223956
1.056e-11,-0.3223956
1.256e-11,-0.3223956
1.456e-11,-0.3223956
1.656e-11,-0.3223956
1.856e-11,-0.3223956
2.056e-11,-0.3223956
2.256e-11,-0.3223956
2.456e-11,-0.3223956
2.656e-11,-0.3223956
2.856e-11,-0.3223956
3.056e-11,-0.3223956
3.256e-11,-0.3223956
3.456e-11,-0.3223956
3.656e-11,-0.3223956
3.856e-11,-0.3223956
4.056e-11,-0.3223956
4.256e-11,-0.3223956
4.456e-11,-0.3223956
4.656e-11,-0.3223956
4.856e-11,-0.3223956
5.056e-11,-0.3223956
5.256e-11,-0.3223956
5.456e-11,-0.3223956
5.656e-11,-0.3223956
5.856e-11,-0.3223956
6.056e-11,-0.3223956
6.256e-11,-0.3223956
6.456e-11,-0.3223956
6.656e-11,-0.3223956
6.856e-11,-0.3223956
7.056e-11,-0.3223956
7.256e-11,-0.3223956
7.456e-11,-0.3223956
7.656e-11,-0.3223956
7.856e-11,-0.3223956
8.056e-11,-0.3223956
8.256e-11,-0.3223956
8.456e-11,-0.3223956
8.656e-11,-0.3223956
8.856e-11,-0.3223956
9.056e-11,-0.3223956
9.256e-11,-0.3223956
9.456e-11,-0.3223956
9.656e-11,-0.3223956
9.856e-11,-0.3223956
1.0056e-10,-0.3223956
1.0256e-10,-0.3223956
1.0456e-10,-0.3223956
1.0656e-10,-0.3223956
1.0856e-10,-0.3223956
1.1056e-10,-0.3223956
1.1256e-10,-0.3223956
1.1456e-10,-0.3223956
1.1656e-10,-0.3223956
1.1856e-10,-0.3223956
1.2056e-10,-0.3223956
1.2256e-10,-0.3223956
1.2456e-10,-0.3223956
1.2656e-10,-0.3223956
1.2856e-10,-0.3223956
1.3056e-10,-0.3223956
1.3256e-10,-0.3223956
1.3456e-10,-0.3223956
1.3656e-10,-0.3223956
1.3856e-10,-0.3223956
1.4056e-10,-0.3223956
