time_s,dfe_output_v
1e-10,0.19999999999999996
3e-10,1.4204279
4.999999999999999e-10,1.0712976
7e-10,0.9568331999999999
8.999999999999999e-10,0.9281427999999999
1.1e-09,0.92111
1.3e-09,0.9193941999999999
1.5e-09,-0.3014962000000001
1.7e-09,0.9029782
1.8999999999999996e-09,1.0210616
2.0999999999999998e-09,0.9441035999999999
2.3e-09,0.9250155999999999
2.5e-09,0.9203467999999999
2.6999999999999998e-09,-0.3013401
2.9e-09,-0.3523281999999999
3.0999999999999996e-09,0.9941503
3.2999999999999998e-09,1.058233
3.5e-09,0.9534995999999999
3.6999999999999996e-09,0.9273227999999999
3.899999999999999e-09,-0.30019410000000013
4.0999999999999995e-09,0.9035850000000001
4.3e-09,-0.22658420000000018
4.5e-09,0.9326782
4.7e-09,1.0318706
4.9e-09,0.9468228
5.099999999999999e-09,-0.2964543000000001
5.2999999999999995e-09,-0.34981460000000003
5.5e-09,-0.23731639999999993
5.7e-09,-0.20913519999999997
5.9e-09,1.0189277
6.099999999999999e-09,1.0705208
6.299999999999999e-09,-0.2754269999999999
6.4999999999999995e-09,0.9144642000000001
6.7e-09,1.025102
6.9e-09,0.9451187999999999
7.099999999999999e-09,-0.2972470000000001
7.299999999999999e-09,0.9042014
7.5e-09,-0.22576440000000014
7.699999999999998e-09,-0.3177102
7.899999999999998e-09,1.0003815
8.099999999999998e-09,1.0612284
8.299999999999998e-09,-0.27711630000000015
8.499999999999998e-09,-0.34025379999999994
8.699999999999998e-09,-0.23487759999999996
8.899999999999999e-09,1.0141416
9.099999999999999e-09,-0.1869916000000001
9.299999999999999e-09,0.9447995000000002
9.499999999999999e-09,-0.2133696000000001
9.7e-09,0.9369628000000001
9.899999999999998e-09,1.0335291999999998
1.0099999999999998e-08,-0.2820761
1.0299999999999998e-08,-0.3426476
1.0499999999999998e-08,-0.2354874
1.0699999999999998e-08,-0.20868519999999996
1.0899999999999998e-08,-0.20211819999999997
1.1099999999999998e-08,1.0195783
1.1299999999999999e-08,-0.18449080000000012
1.1499999999999999e-08,0.9448477
1.1699999999999999e-08,1.0366483999999998
1.1899999999999997e-08,0.9480282
1.2099999999999998e-08,0.9259786
1.2299999999999998e-08,-0.3004146999999999
1.2499999999999998e-08,-0.3518493999999999
1.2699999999999998e-08,-0.2378366
1.2899999999999998e-08,1.0136442
1.3099999999999998e-08,1.0678156
1.3299999999999998e-08,0.955943
1.3499999999999998e-08,-0.29543880000000017
1.3699999999999999e-08,0.9050288
1.3899999999999999e-08,1.0217702
1.4099999999999997e-08,-0.2836165000000001
1.4299999999999997e-08,0.9110012000000001
1.4499999999999997e-08,1.0238656
1.4699999999999998e-08,-0.28324710000000003
1.4899999999999998e-08,-0.343219
1.51e-08,0.9958064
1.5299999999999998e-08,-0.19426120000000008
1.55e-08,-0.3057726
1.5699999999999998e-08,1.0024904000000001
1.59e-08,-0.19141780000000003
1.61e-08,0.9428957
1.63e-08,-0.21467660000000005
1.65e-08,-0.3133523999999999
1.67e-08,1.0006176
1.69e-08,-0.1922236000000001
1.71e-08,-0.30504679999999995
1.73e-08,-0.22597219999999996
1.7499999999999998e-08,-0.2063484
1.77e-08,1.0188824
1.7899999999999998e-08,-0.1848144000000001
1.81e-08,-0.3024536
1.83e-08,1.0025417
1.85e-08,1.0622816
1.87e-08,0.9545307999999999
1.89e-08,-0.2951641000000001
1.91e-08,-0.3491574
1.93e-08,0.9947282000000002
1.95e-08,-0.1954318000000001
1.9699999999999998e-08,0.9417362
1.99e-08,1.0354071999999999
2.0099999999999998e-08,-0.28174269999999996
2.03e-08,0.911805
2.0499999999999998e-08,-0.22361000000000014
2.07e-08,-0.31684979999999996
2.09e-08,-0.22894499999999995
2.11e-08,1.0156441
2.13e-08,-0.18556400000000012
2.1499999999999997e-08,-0.30271279999999995
2.17e-08,-0.22538599999999992
2.1899999999999998e-08,1.0157282
2.21e-08,1.0688772
2.2299999999999998e-08,-0.2757268
2.25e-08,-0.33959059999999996
2.2699999999999998e-08,0.9959180000000001
2.29e-08,1.0590764
2.31e-08,-0.2775049
2.33e-08,0.9128762000000001
2.35e-08,-0.22330060000000002
2.3699999999999997e-08,0.9337662
2.39e-08,-0.21763000000000005
2.4099999999999997e-08,0.9356088
2.43e-08,-0.21637440000000013
2.4499999999999998e-08,-0.3140084
2.47e-08,-0.2282282
2.4899999999999998e-08,-0.20690199999999997
2.51e-08,-0.20168279999999994
2.5299999999999998e-08,-0.20040999999999998
