dc_gain,dc_valid,error,name,nyquist_gain,peaking_boost,power,process,pvt_pass,status,temperature_c,vdd
11.352432754474243,True,,TT_0.95V_0C,19.232775128530232,7.880342374055989,0.0017319027924854956,TT,True,pass,0.0,1.14
10.752556337033232,True,,TT_0.95V_62.5C,18.014569769007718,7.262013431974486,0.0017319027924854956,TT,True,pass,62.5,1.14
10.194520475435052,True,,TT_0.95V_125C,16.981188480651706,6.786668005216654,0.0017319027924854956,TT,True,pass,125.0,1.14
11.356593624741727,True,,TT_1.00V_0C,19.242143554913074,7.885549930171347,0.001823055571037364,TT,True,pass,0.0,1.2
10.757115237753963,True,,TT_1.00V_62.5C,18.024170094060736,7.267054856306773,0.001823055571037364,TT,True,pass,62.5,1.2
10.199462213405905,True,,TT_1.00V_125C,16.99095798240414,6.791495768998235,0.001823055571037364,TT,True,pass,125.0,1.2
11.36070553584289,True,,TT_1.05V_0C,19.251493485464387,7.890787949621497,0.0019142083495892323,TT,True,pass,0.0,1.26
10.761671740512384,True,,TT_1.05V_62.5C,18.03375237942313,7.272080638910747,0.0019142083495892323,TT,True,pass,62.5,1.26
10.204374312128571,True,,TT_1.05V_125C,17.000707606474776,6.796333294346205,0.0019142083495892323,TT,True,pass,125.0,1.26
11.352432754474243,True,,SS_0.95V_0C,19.232775128530232,7.880342374055989,0.0017319027924854956,SS,True,pass,0.0,1.14
10.752556337033232,True,,SS_0.95V_62.5C,18.014569769007718,7.262013431974486,0.0017319027924854956,SS,True,pass,62.5,1.14
10.194520475435052,True,,SS_0.95V_125C,16.981188480651706,6.786668005216654,0.0017319027924854956,SS,True,pass,125.0,1.14
11.356593624741727,True,,SS_1.00V_0C,19.242143554913074,7.885549930171347,0.001823055571037364,SS,True,pass,0.0,1.2
10.757115237753963,True,,SS_1.00V_62.5C,18.024170094060736,7.267054856306773,0.001823055571037364,SS,True,pass,62.5,1.2
10.199462213405905,True,,SS_1.00V_125C,16.99095798240414,6.791495768998235,0.001823055571037364,SS,True,pass,125.0,1.2
11.36070553584289,True,,SS_1.05V_0C,19.251493485464387,7.890787949621497,0.0019142083495892323,SS,True,pass,0.0,1.26
10.761671740512384,True,,SS_1.05V_62.5C,18.03375237942313,7.272080638910747,0.0019142083495892323,SS,True,pass,62.5,1.26
10.204374312128571,True,,SS_1.05V_125C,17.000707606474776,6.796333294346205,0.0019142083495892323,SS,True,pass,125.0,1.26
11.352432754474243,True,,FF_0.95V_0C,19.232775128530232,7.880342374055989,0.0017319027924854956,FF,True,pass,0.0,1.14
10.752556337033232,True,,FF_0.95V_62.5C,18.014569769007718,7.262013431974486,0.0017319027924854956,FF,True,pass,62.5,1.14
10.194520475435052,True,,FF_0.95V_125C,16.981188480651706,6.786668005216654,0.0017319027924854956,FF,True,pass,125.0,1.14
11.356593624741727,True,,FF_1.00V_0C,19.242143554913074,7.885549930171347,0.001823055571037364,FF,True,pass,0.0,1.2
10.757115237753963,True,,FF_1.00V_62.5C,18.024170094060736,7.267054856306773,0.001823055571037364,FF,True,pass,62.5,1.2
10.199462213405905,True,,FF_1.00V_125C,16.99095798240414,6.791495768998235,0.001823055571037364,FF,True,pass,125.0,1.2
11.36070553584289,True,,FF_1.05V_0C,19.251493485464387,7.890787949621497,0.0019142083495892323,FF,True,pass,0.0,1.26
10.761671740512384,True,,FF_1.05V_62.5C,18.03375237942313,7.272080638910747,0.0019142083495892323,FF,True,pass,62.5,1.26
10.204374312128571,True,,FF_1.05V_125C,17.000707606474776,6.796333294346205,0.0019142083495892323,FF,True,pass,125.0,1.26
11.352432754474243,True,,SF_0.95V_0C,19.232775128530232,7.880342374055989,0.0017319027924854956,SF,True,pass,0.0,1.14
10.752556337033232,True,,SF_0.95V_62.5C,18.014569769007718,7.262013431974486,0.0017319027924854956,SF,True,pass,62.5,1.14
10.194520475435052,True,,SF_0.95V_125C,16.981188480651706,6.786668005216654,0.0017319027924854956,SF,True,pass,125.0,1.14
11.356593624741727,True,,SF_1.00V_0C,19.242143554913074,7.885549930171347,0.001823055571037364,SF,True,pass,0.0,1.2
10.757115237753963,True,,SF_1.00V_62.5C,18.024170094060736,7.267054856306773,0.001823055571037364,SF,True,pass,62.5,1.2
10.199462213405905,True,,SF_1.00V_125C,16.99095798240414,6.791495768998235,0.001823055571037364,SF,True,pass,125.0,1.2
11.36070553584289,True,,SF_1.05V_0C,19.251493485464387,7.890787949621497,0.0019142083495892323,SF,True,pass,0.0,1.26
10.761671740512384,True,,SF_1.05V_62.5C,18.03375237942313,7.272080638910747,0.0019142083495892323,SF,True,pass,62.5,1.26
10.204374312128571,True,,SF_1.05V_125C,17.000707606474776,6.796333294346205,0.0019142083495892323,SF,True,pass,125.0,1.26
11.352432754474243,True,,FS_0.95V_0C,19.232775128530232,7.880342374055989,0.0017319027924854956,FS,True,pass,0.0,1.14
10.752556337033232,True,,FS_0.95V_62.5C,18.014569769007718,7.262013431974486,0.0017319027924854956,FS,True,pass,62.5,1.14
10.194520475435052,True,,FS_0.95V_125C,16.981188480651706,6.786668005216654,0.0017319027924854956,FS,True,pass,125.0,1.14
11.356593624741727,True,,FS_1.00V_0C,19.242143554913074,7.885549930171347,0.001823055571037364,FS,True,pass,0.0,1.2
10.757115237753963,True,,FS_1.00V_62.5C,18.024170094060736,7.267054856306773,0.001823055571037364,FS,True,pass,62.5,1.2
