time_s,dfe_output_v
1e-10,0.09999999999999998
3e-10,0.9085548999999999
4.999999999999999e-10,0.8497481
7e-10,0.7423881999999999
8.999999999999999e-10,0.6699354999999999
1.1e-09,0.6304031999999999
1.3e-09,0.6102407
1.5e-09,-0.21627970000000007
1.7e-09,0.5850819
1.8999999999999996e-09,0.7067602
2.0999999999999998e-09,0.6499857999999998
2.3e-09,0.6201333
2.5e-09,0.6051195
2.6999999999999998e-09,-0.21706860000000006
2.9e-09,-0.35609860000000004
3.0999999999999996e-09,0.6664175
3.2999999999999998e-09,0.7773668
3.5e-09,0.6908923999999999
3.6999999999999996e-09,0.6414361999999999
3.899999999999999e-09,-0.2140354
4.0999999999999995e-09,0.5928757
4.3e-09,-0.18770220000000004
4.5e-09,0.6348119
4.7e-09,0.7456666
4.9e-09,0.6718365
5.099999999999999e-09,-0.21067539999999996
5.2999999999999995e-09,-0.3418232
5.5e-09,-0.23791680000000004
5.7e-09,-0.17141909999999994
5.9e-09,0.7023055
6.099999999999999e-09,0.8346991
6.299999999999999e-09,-0.18006540000000004
6.4999999999999995e-09,0.6415004
6.7e-09,0.7514310999999999
6.9e-09,0.6752035999999999
7.099999999999999e-09,-0.2103155
7.299999999999999e-09,0.6008137
7.5e-09,-0.18525780000000014
7.699999999999998e-09,-0.29892640000000004
7.899999999999998e-09,0.6832221
8.099999999999998e-09,0.7999782000000001
8.299999999999998e-09,-0.19015400000000005
8.499999999999998e-09,-0.30577679999999996
8.699999999999998e-09,-0.2124689999999999
8.899999999999999e-09,0.6980529000000001
9.099999999999999e-09,-0.11706089999999991
9.299999999999999e-09,0.6738763
9.499999999999999e-09,-0.14835339999999997
9.7e-09,0.6616700999999999
9.899999999999998e-09,0.7721543999999999
1.0099999999999998e-08,-0.19625400000000015
1.0299999999999998e-08,-0.3149839
1.0499999999999998e-08,-0.21863500000000002
1.0699999999999998e-08,-0.16072569999999986
1.0899999999999998e-08,-0.13020659999999995
1.1099999999999998e-08,0.7064382999999999
1.1299999999999999e-08,-0.09733400000000014
1.1499999999999999e-08,0.6796660999999999
1.1699999999999999e-08,0.7943551999999999
1.1899999999999997e-08,0.7017481
1.2099999999999998e-08,0.6472646
1.2299999999999998e-08,-0.21311580000000008
1.2499999999999998e-08,-0.3473858999999999
1.2699999999999998e-08,-0.24222149999999987
1.2899999999999998e-08,0.6939527000000001
1.3099999999999998e-08,0.8168891
1.3299999999999998e-08,0.7170983
1.3499999999999998e-08,-0.2052446
1.3699999999999999e-08,0.6108224999999999
1.3899999999999999e-08,0.7255949999999999
1.4099999999999997e-08,-0.20440000000000003
1.4299999999999997e-08,0.6131593
1.4499999999999997e-08,0.7277073
1.4699999999999998e-08,-0.20409310000000014
1.4899999999999998e-08,-0.3276629
1.51e-08,0.6758890000000001
1.5299999999999998e-08,-0.14619479999999996
1.55e-08,-0.2565377
1.5699999999999998e-08,0.6913663999999999
1.59e-08,-0.12762300000000004
1.61e-08,0.6703856999999999
1.63e-08,-0.15125490000000008
1.65e-08,-0.26160380000000005
1.67e-08,0.690838
1.69e-08,-0.12903790000000004
1.71e-08,-0.24218870000000015
1.73e-08,-0.17383589999999993
1.7499999999999998e-08,-0.13694119999999999
1.77e-08,0.7058741
1.7899999999999998e-08,-0.0989411
1.81e-08,-0.21954090000000004
1.83e-08,0.6971432
1.85e-08,0.8229008
1.87e-08,0.7214235999999999
1.89e-08,-0.20499370000000006
1.91e-08,-0.3293435
1.93e-08,0.6753963
1.95e-08,-0.14668359999999991
1.9699999999999998e-08,0.6622804000000001
1.99e-08,0.7728173
2.0099999999999998e-08,-0.19612390000000013
2.03e-08,0.6247945
2.0499999999999998e-08,-0.17699290000000012
2.07e-08,-0.28840909999999986
2.09e-08,-0.20131169999999987
2.11e-08,0.6990526000000001
2.13e-08,-0.11408079999999998
2.1499999999999997e-08,-0.23030980000000012
2.17e-08,-0.16716419999999999
2.1899999999999998e-08,0.7031061
2.21e-08,0.8354944999999998
2.2299999999999998e-08,-0.17978830000000012
2.25e-08,-0.29200939999999986
2.2699999999999998e-08,0.6850263999999999
2.29e-08,0.8020624999999999
2.31e-08,-0.18963770000000013
2.33e-08,0.6323816
2.35e-08,-0.17416470000000006
2.3699999999999997e-08,0.6461981
2.39e-08,-0.1669872000000001
2.4099999999999997e-08,0.650924
2.43e-08,-0.16465090000000004
2.4499999999999998e-08,-0.27421589999999996
2.47e-08,-0.19257539999999995
2.4899999999999998e-08,-0.14673179999999997
2.51e-08,-0.12311139999999987
2.5299999999999998e-08,-0.11132720000000007
