time_s,differential_output_v
0.0,-0.273987
2e-14,-0.273987
4e-14,-0.273987
8e-14,-0.273987
1.6e-13,-0.273987
3.2e-13,-0.273987
6.4e-13,-0.273987
1.28e-12,-0.273987
2.56e-12,-0.273987
4.56e-12,-0.273987
6.56e-12,-0.273987
8.56e-12,-0.273987
1.056e-11,-0.273987
1.256e-11,-0.273987
1.456e-11,-0.273987
1.656e-11,-0.273987
1.856e-11,-0.273987
2.056e-11,-0.273987
2.256e-11,-0.273987
2.456e-11,-0.273987
2.656e-11,-0.273987
2.856e-11,-0.273987
3.056e-11,-0.273987
3.256e-11,-0.273987
3.456e-11,-0.273987
3.656e-11,-0.273987
3.856e-11,-0.273987
4.056e-11,-0.273987
4.256e-11,-0.273987
4.456e-11,-0.273987
4.656e-11,-0.273987
4.856e-11,-0.273987
5.056e-11,-0.273987
5.256e-11,-0.273987
5.456e-11,-0.273987
5.656e-11,-0.273987
5.856e-11,-0.273987
6.056e-11,-0.273987
6.256e-11,-0.273987
6.456e-11,-0.273987
6.656e-11,-0.273987
6.856e-11,-0.273987
7.056e-11,-0.273987
7.256e-11,-0.273987
7.456e-11,-0.273987
7.656e-11,-0.273987
7.856e-11,-0.273987
8.056e-11,-0.273987
8.256e-11,-0.273987
8.456e-11,-0.273987
8.656e-11,-0.273987
8.856e-11,-0.273987
9.056e-11,-0.273987
9.256e-11,-0.273987
9.456e-11,-0.273987
9.656e-11,-0.273987
9.856e-11,-0.273987
1.0056e-10,-0.273987
1.0256e-10,-0.273987
1.0456e-10,-0.273987
1.0656e-10,-0.273987
1.0856e-10,-0.273987
1.1056e-10,-0.273987
1.1256e-10,-0.273987
1.1456e-10,-0.273987
1.1656e-10,-0.273987
1.1856e-10,-0.273987
1.2056e-10,-0.273987
1.2256e-10,-0.273987
1.2456e-10,-0.273987
1.2656e-10,-0.273987
1.2856e-10,-0.273987
1.3056e-10,-0.273987
1.3256e-10,-0.273987
1.3456e-10,-0.273987
1.3656e-10,-0.273987
1.3856e-10,-0.273987
1.4056e-10,-0.273987
1.4256e-10,-0.273987
1.4456e-10,-0.273987
1.4656e-10,-0.273987
1.4856e-10,-0.273987
1.5056e-10,-0.273987
1.5256e-10,-0.273987
1.5456e-10,-0.273987
1.5656e-10,-0.273987
1.5856e-10,-0.273987
1.6056e-10,-0.273987
1.6256e-10,-0.273987
1.6456e-10,-0.273987
1.6656e-10,-0.273987
1.6856e-10,-0.273987
1.7056e-10,-0.273987
1.7256e-10,-0.273987
1.7456e-10,-0.273987
1.7656e-10,-0.273987
1.7856e-10,-0.273987
1.8056e-10,-0.273987
1.8256e-10,-0.273987
1.8456e-10,-0.273987
1.8656e-10,-0.273987
1.8856e-10,-0.273987
1.9056e-10,-0.273987
1.9256e-10,-0.273987
1.9456e-10,-0.273987
1.9656e-10,-0.273987
1.9828e-10,-0.273987
2e-10,-0.273987
2.002e-10,-0.2739878
2.006e-10,-0.2739912
2.014e-10,-0.2740078
2.03e-10,-0.27405219999999997
2.05e-10,-0.2740659000000001
2.07e-10,-0.27396069999999995
2.09e-10,-0.27367699999999995
2.11e-10,-0.2731732
2.13e-10,-0.27242109999999997
2.15e-10,-0.27140299999999995
2.17e-10,-0.2701087
2.19e-10,-0.2685339
2.21e-10,-0.26667849999999993
2.23e-10,-0.26454600000000006
2.25e-10,-0.2621418999999999
2.27e-10,-0.2594736000000001
2.29e-10,-0.2565499
2.31e-10,-0.25338020000000006
2.33e-10,-0.2499747
2.35e-10,-0.2463438
2.37e-10,-0.24249809999999994
2.39e-10,-0.2384484
2.41e-10,-0.2342052
2.43e-10,-0.22977930000000002
2.45e-10,-0.22518099999999996
2.47e-10,-0.22042039999999996
2.49e-10,-0.2155075999999999
2.51e-10,-0.21045249999999993
2.53e-10,-0.2052643999999999
2.55e-10,-0.19995249999999998
2.57e-10,-0.19452590000000003
2.59e-10,-0.18899330000000003
2.61e-10,-0.1833631
2.63e-10,-0.1776436
2.65e-10,-0.1718425
2.67e-10,-0.1659676
2.69e-10,-0.16002610000000006
2.71e-10,-0.15402539999999998
2.73e-10,-0.1479722
2.75e-10,-0.14187319999999992
2.77e-10,-0.13573469999999999
2.79e-10,-0.12956289999999993
2.81e-10,-0.12336370000000008
2.83e-10,-0.11714290000000005
2.85e-10,-0.11090579999999994
2.87e-10,-0.10465769999999996
2.89e-10,-0.09840369999999998
2.91e-10,-0.09214840000000002
2.93e-10,-0.08589649999999993
2.95e-10,-0.07965259999999996
2.97e-10,-0.07342060000000006
2.99e-10,-0.0672047
3.01e-10,-0.06100859999999997
3.03e-10,-0.05483609999999994
3.05e-10,-0.048690300000000075
3.07e-10,-0.042574800000000024
3.09e-10,-0.036492599999999986
3.11e-10,-0.030446799999999996
3.13e-10,-0.02443989999999996
3.15e-10,-0.018474600000000008
3.17e-10,-0.01255329999999999
3.19e-10,-0.006678699999999926
3.21e-10,-0.0008525000000000338
3.23e-10,0.004923099999999958
3.25e-10,0.010646000000000044
3.27e-10,0.016314799999999963
3.29e-10,0.02192749999999999
3.31e-10,0.027482700000000082
3.33e-10,0.03297910000000004
3.35e-10,0.03841530000000004
3.37e-10,0.043790100000000054
3.39e-10,0.04910249999999994
3.41e-10,0.05435139999999994
3.43e-10,0.05953609999999998
