timestep,reward,dc_valid,peaking_boost,power,eye_vertical_v,eye_horizontal_ui,all_specs_met,generation
1,-0.8673268399958208,True,3.228868361213488,0.0009589360799916424,0.1530353000000001,0.8,False,1
2,-0.7770965198446034,True,2.884133923432705,0.0008261033886443431,0.16864429999999997,0.88,False,1
3,-10.0,False,nan,nan,,,False,1
4,-0.7054393470493886,True,4.843875352294417,0.0007596106940987772,0.1685915,0.84,False,1
5,19.39875579122684,True,7.652482107509654,0.0017739169889748902,0.32633580000000006,0.74,True,1
6,-0.6241923772970515,True,4.363668284600644,0.0007266007545941018,0.18477699999999986,0.86,False,1
7,-1.0848225415462152,True,2.275740365988418,0.0008683037270847087,0.14768729999999997,0.78,False,1
8,-1.3593839814892819,True,10.948773483802025,0.001393619620121421,0.12721360000000004,0.58,False,1
9,-0.5333826578220392,True,5.7871746022154475,0.0005018477156440772,0.17938529999999986,0.72,False,2
10,-0.7384490193347131,True,4.652202628584238,0.0010878156386694257,0.20136469999999995,0.9,False,2
11,19.209561487438634,True,8.229537624949566,0.0015808770251227284,0.28598940000000006,0.7,True,2
12,-1.3343597104297813,True,2.5087109360610103,0.0010505293782335692,0.08866699999999994,0.8,False,2
13,-1.0310011753965274,True,2.126489712194873,0.0012817837589229686,0.22526519999999983,0.86,False,2
14,-10.0,False,nan,nan,,,False,2
15,-0.6186694922415946,True,3.513289746192317,0.0008138637844831897,0.19706560000000006,0.88,False,2
16,20.72996361982864,True,3.9504415713177856,0.0010971087603427164,0.3139259,0.88,True,2
17,-0.5107307074515985,True,4.6852424464925395,0.0009649566149031963,0.2429368999999999,0.82,False,3
18,-0.5805337306743031,True,5.710934261881308,0.0010726282613486057,0.2389450999999999,0.74,False,3
19,-2.418158149997995,True,0.3476326743621667,0.0015007002162374355,0.05407860000000009,0.76,False,3
20,20.02463415784665,True,5.831485291686349,0.0012826636843067017,0.2832983,0.8,True,3
21,-0.740240887732739,True,2.4350227690574844,0.0011038302881704676,0.27745110000000006,0.78,False,3
22,-0.7044760145763462,True,2.9298596909517975,0.000997877423120557,0.20446069999999994,0.9,False,3
23,-0.6626767313139916,True,2.9327054520079656,0.0012804904306332936,0.29293760000000013,0.88,False,3
24,-10.0,False,nan,nan,,,False,3
25,-1.0871443007437387,True,8.019302361793342,0.0013029551157731916,0.1767976,0.6,False,4
26,19.648179663102162,True,4.794889988983776,0.0017839401122992798,0.44169559999999997,0.9,True,4
27,-0.4981724339214838,True,5.927519264166234,0.0005834424678429693,0.1983872000000002,0.7,False,4
28,-1.0954345098130644,True,2.181015733499873,0.00048718270862604425,0.10528789999999999,0.82,False,4
29,-0.702032876497805,True,4.013248044840139,0.0011270033529956099,0.21536719999999998,0.78,False,4
30,19.803504570874217,True,5.820374606375168,0.001250133715394427,0.3126821999999999,0.76,True,4
