time_s,differential_output_v
0.0,-0.26853649999999996
2e-14,-0.26853649999999996
4e-14,-0.26853649999999996
8e-14,-0.26853649999999996
1.6e-13,-0.26853649999999996
3.2e-13,-0.26853649999999996
6.4e-13,-0.26853649999999996
1.28e-12,-0.26853649999999996
2.56e-12,-0.26853649999999996
4.56e-12,-0.26853649999999996
6.56e-12,-0.26853649999999996
8.56e-12,-0.26853649999999996
1.056e-11,-0.26853649999999996
1.256e-11,-0.26853649999999996
1.456e-11,-0.26853649999999996
1.656e-11,-0.26853649999999996
1.856e-11,-0.26853649999999996
2.056e-11,-0.26853649999999996
2.256e-11,-0.26853649999999996
2.456e-11,-0.26853649999999996
2.656e-11,-0.26853649999999996
2.856e-11,-0.26853649999999996
3.056e-11,-0.26853649999999996
3.256e-11,-0.26853649999999996
3.456e-11,-0.26853649999999996
3.656e-11,-0.26853649999999996
3.856e-11,-0.26853649999999996
4.056e-11,-0.26853649999999996
4.256e-11,-0.26853649999999996
4.456e-11,-0.26853649999999996
4.656e-11,-0.26853649999999996
4.856e-11,-0.26853649999999996
5.056e-11,-0.26853649999999996
5.256e-11,-0.26853649999999996
5.456e-11,-0.26853649999999996
5.656e-11,-0.26853649999999996
5.856e-11,-0.26853649999999996
6.056e-11,-0.26853649999999996
6.256e-11,-0.26853649999999996
6.456e-11,-0.26853649999999996
6.656e-11,-0.26853649999999996
6.856e-11,-0.26853649999999996
7.056e-11,-0.26853649999999996
7.256e-11,-0.26853649999999996
7.456e-11,-0.26853649999999996
7.656e-11,-0.26853649999999996
7.856e-11,-0.26853649999999996
8.056e-11,-0.26853649999999996
8.256e-11,-0.26853649999999996
8.456e-11,-0.26853649999999996
8.656e-11,-0.26853649999999996
8.856e-11,-0.26853649999999996
9.056e-11,-0.26853649999999996
9.256e-11,-0.26853649999999996
9.456e-11,-0.26853649999999996
9.656e-11,-0.26853649999999996
9.856e-11,-0.26853649999999996
1.0056e-10,-0.26853649999999996
1.0256e-10,-0.26853649999999996
1.0456e-10,-0.26853649999999996
1.0656e-10,-0.26853649999999996
1.0856e-10,-0.26853649999999996
1.1056e-10,-0.26853649999999996
1.1256e-10,-0.26853649999999996
1.1456e-10,-0.26853649999999996
1.1656e-10,-0.26853649999999996
1.1856e-10,-0.26853649999999996
1.2056e-10,-0.26853649999999996
1.2256e-10,-0.26853649999999996
1.2456e-10,-0.26853649999999996
1.2656e-10,-0.26853649999999996
1.2856e-10,-0.26853649999999996
1.3056e-10,-0.26853649999999996
1.3256e-10,-0.26853649999999996
1.3456e-10,-0.26853649999999996
1.3656e-10,-0.26853649999999996
1.3856e-10,-0.26853649999999996
1.4056e-10,-0.26853649999999996
1.4256e-10,-0.26853649999999996
1.4456e-10,-0.26853649999999996
1.4656e-10,-0.26853649999999996
1.4856e-10,-0.26853649999999996
1.5056e-10,-0.26853649999999996
1.5256e-10,-0.26853649999999996
1.5456e-10,-0.26853649999999996
1.5656e-10,-0.26853649999999996
1.5856e-10,-0.26853649999999996
1.6056e-10,-0.26853649999999996
1.6256e-10,-0.26853649999999996
1.6456e-10,-0.26853649999999996
1.6656e-10,-0.26853649999999996
1.6856e-10,-0.26853649999999996
1.7056e-10,-0.26853649999999996
1.7256e-10,-0.26853649999999996
1.7456e-10,-0.26853649999999996
1.7656e-10,-0.26853649999999996
1.7856e-10,-0.26853649999999996
1.8056e-10,-0.26853649999999996
1.8256e-10,-0.26853649999999996
1.8456e-10,-0.26853649999999996
1.8656e-10,-0.26853649999999996
1.8856e-10,-0.26853649999999996
1.9056e-10,-0.26853649999999996
1.9256e-10,-0.26853649999999996
1.9456e-10,-0.26853649999999996
1.9656e-10,-0.26853649999999996
1.9828e-10,-0.26853649999999996
2e-10,-0.26853649999999996
2.002e-10,-0.2685373
2.006e-10,-0.2685408
2.014e-10,-0.26855799999999996
2.03e-10,-0.2686069
2.05e-10,-0.2686349
2.07e-10,-0.26855739999999995
2.09e-10,-0.2683173
2.11e-10,-0.2678745
2.13e-10,-0.26720160000000004
2.15e-10,-0.266281
2.17e-10,-0.26510239999999996
2.19e-10,-0.2636611
2.21e-10,-0.2619562999999999
2.23e-10,-0.2599905
2.25e-10,-0.2577684
2.27e-10,-0.25529650000000004
2.29e-10,-0.2525824
2.31e-10,-0.2496347
2.33e-10,-0.24646250000000003
2.35e-10,-0.2430753
2.37e-10,-0.23948290000000005
2.39e-10,-0.23569489999999993
2.41e-10,-0.23172130000000002
2.43e-10,-0.22757169999999993
2.45e-10,-0.22325569999999995
2.47e-10,-0.21878300000000006
2.49e-10,-0.2141628000000001
2.51e-10,-0.20940400000000003
2.53e-10,-0.20451579999999991
2.55e-10,-0.19950659999999998
2.57e-10,-0.19438500000000003
2.59e-10,-0.18915899999999997
2.61e-10,-0.18383690000000008
2.63e-10,-0.17842619999999998
2.65e-10,-0.17293429999999999
2.67e-10,-0.16736859999999998
2.69e-10,-0.16173630000000006
2.71e-10,-0.15604399999999996
2.73e-10,-0.1502983
2.75e-10,-0.14450569999999996
2.77e-10,-0.13867220000000002
2.79e-10,-0.13280389999999997
2.81e-10,-0.12690630000000003
2.83e-10,-0.12098489999999995
2.85e-10,-0.11504530000000002
2.87e-10,-0.10909230000000003
2.89e-10,-0.10313090000000003
2.91e-10,-0.09716580000000008
2.93e-10,-0.09120139999999999
2.95e-10,-0.08524220000000005
2.97e-10,-0.07929200000000003
2.99e-10,-0.07335500000000006
3.01e-10,-0.06743500000000002
3.03e-10,-0.06153530000000007
3.05e-10,-0.055659400000000026
3.07e-10,-0.049810699999999986
3.09e-10,-0.04399209999999998
3.11e-10,-0.03820649999999992
3.13e-10,-0.032456700000000005
3.15e-10,-0.026745299999999972
3.17e-10,-0.02107479999999995
3.19e-10,-0.0154474
3.21e-10,-0.009865199999999907
3.23e-10,-0.0043303999999999565
3.25e-10,0.0011552000000000229
3.27e-10,0.006589900000000037
3.29e-10,0.011972000000000094
3.31e-10,0.017299900000000035
3.33e-10,0.022572399999999937
3.35e-10,0.027788000000000035
3.37e-10,0.03294569999999997
3.39e-10,0.038044200000000084
3.41e-10,0.04308269999999992
3.43e-10,0.048060300000000056
3.45e-10,0.05297609999999997
3.47e-10,0.057829600000000037
3.49e-10,0.06262000000000001
3.51e-10,0.06734689999999999
3.53e-10,0.07200970000000007
3.55e-10,0.07660800000000001
3.57e-10,0.08114169999999998
3.59e-10,0.08561039999999998
3.61e-10,0.09001390000000009
3.63e-10,0.0943522
3.65e-10,0.09862510000000002
3.67e-10,0.1028327
3.69e-10,0.10697500000000004
3.71e-10,0.11105209999999999
3.73e-10,0.11506419999999995
3.75e-10,0.11901139999999999
3.77e-10,0.1228939
3.79e-10,0.12671220000000005
3.81e-10,0.13046630000000004
3.83e-10,0.1341566999999999
3.85e-10,0.1377838
3.87e-10,0.14134790000000008
3.89e-10,0.14484949999999996
3.91e-10,0.14828909999999995
3.93e-10,0.15166710000000005
3.95e-10,0.15498409999999996
3.97e-10,0.1582405
3.985e-10,0.16064329999999993
4e-10,0.1630127
4.002e-10,0.16332580000000008
4.006e-10,0.16395080000000006
4.014e-10,0.1651937
4.03e-10,0.16765149999999995
4.05e-10,0.17067149999999998
4.07e-10,0.1736339
4.09e-10,0.17653929999999995
4.11e-10,0.1793884
4.13e-10,0.1821817
4.15e-10,0.18491999999999997
4.17e-10,0.18760390000000005
4.19e-10,0.19023400000000001
4.21e-10,0.19281119999999996
4.23e-10,0.1953359
4.25e-10,0.197809
4.27e-10,0.20023099999999994
4.29e-10,0.20260280000000008
4.31e-10,0.20492489999999997
4.33e-10,0.20719830000000006
4.35e-10,0.20942329999999998
4.37e-10,0.21160080000000003
4.39e-10,0.21373160000000002
4.41e-10,0.21581609999999996
4.43e-10,0.21785529999999997
4.45e-10,0.21984979999999998
4.47e-10,0.22180009999999994
4.49e-10,0.22370710000000005
4.51e-10,0.22557139999999998
4.53e-10,0.22739359999999997
4.55e-10,0.2291746
4.57e-10,0.23091490000000003
4.59e-10,0.23261520000000002
4.61e-10,0.23427619999999993
4.63e-10,0.23589839999999995
4.65e-10,0.2374826
4.67e-10,0.2390295
4.69e-10,0.24053960000000008
4.71e-10,0.24201360000000005
4.73e-10,0.24345209999999995
4.75e-10,0.24485560000000006
4.77e-10,0.24622489999999997
4.79e-10,0.24756060000000002
4.81e-10,0.24886319999999995
4.83e-10,0.25013339999999995
4.85e-10,0.25137160000000003
4.87e-10,0.2525786
4.89e-10,0.25375479999999995
4.91e-10,0.2549009
4.93e-10,0.25601740000000006
4.95e-10,0.25710489999999997
4.97e-10,0.25816380000000005
4.99e-10,0.25919479999999995
5.01e-10,0.26019840000000005
5.03e-10,0.2611751
5.05e-10,0.2621253
5.07e-10,0.26304970000000005
5.09e-10,0.26394870000000004
5.11e-10,0.2648228
5.13e-10,0.26567240000000003
5.15e-10,0.2664981999999999
5.17e-10,0.2673006
5.19e-10,0.26807990000000004
5.21e-10,0.26883669999999993
5.23e-10,0.26957149999999996
5.25e-10,0.27028470000000004
5.27e-10,0.2709766
5.29e-10,0.27164789999999994
5.31e-10,0.2722989
5.33e-10,0.2729298
5.35e-10,0.2735413
5.37e-10,0.2741338
5.39e-10,0.27470760000000005
5.41e-10,0.27526300000000004
5.43e-10,0.27580060000000006
5.45e-10,0.2763207
5.47e-10,0.27682360000000006
5.49e-10,0.2773097
5.51e-10,0.27777949999999996
5.53e-10,0.2782331
5.55e-10,0.278671
5.57e-10,0.2790937
5.59e-10,0.2795012
5.61e-10,0.27989410000000003
5.63e-10,0.2802724999999999
5.65e-10,0.280637
5.67e-10,0.28098769999999995
5.69e-10,0.28132500000000005
5.71e-10,0.28164920000000004
5.73e-10,0.2819606
5.75e-10,0.2822595
5.77e-10,0.2825460999999999
5.79e-10,0.2828208
5.81e-10,0.28308389999999994
5.83e-10,0.28333549999999996
5.85e-10,0.2835759
5.87e-10,0.2838056000000001
5.89e-10,0.28402459999999996
5.91e-10,0.2842333
5.93e-10,0.28443190000000007
5.95e-10,0.28462069999999995
5.97e-10,0.28479979999999994
5.985e-10,0.28492799999999996
6e-10,0.28505100000000005
6.002e-10,0.28506699999999996
6.006e-10,0.2850988
6.014e-10,0.2851612
6.03e-10,0.28528180000000003
6.05e-10,0.28542480000000003
6.07e-10,0.2855594
6.09e-10,0.2856856
6.11e-10,0.2858039
6.13e-10,0.2859142
6.15e-10,0.2860170000000001
6.17e-10,0.2861123
6.19e-10,0.2862004
6.21e-10,0.2862814
6.23e-10,0.2863555
6.25e-10,0.286423
6.27e-10,0.28648399999999996
6.29e-10,0.2865386
6.31e-10,0.2865871
6.33e-10,0.2866295000000001
6.35e-10,0.28666630000000004
6.37e-10,0.28669729999999993
6.39e-10,0.28672279999999994
6.41e-10,0.2867430000000001
6.43e-10,0.28675800000000007
6.45e-10,0.28676789999999996
6.47e-10,0.28677299999999994
6.49e-10,0.2867733
6.51e-10,0.28676899999999994
6.53e-10,0.28676029999999997
6.55e-10,0.2867472
6.57e-10,0.2867299
6.59e-10,0.28670850000000003
6.61e-10,0.2866831999999999
6.63e-10,0.2866540000000001
6.65e-10,0.2866212
6.67e-10,0.2865848
6.69e-10,0.2865449
6.71e-10,0.2865017000000001
6.73e-10,0.2864552
6.75e-10,0.28640560000000004
