timestep,reward,dc_valid,peaking_boost,power,eye_vertical_v,eye_horizontal_ui,all_specs_met,generation
1,-1.038669868192834,True,1.5587628259746893,0.0006898437537021288,0.19666610000000018,0.72,False,1
2,-1.6639772980976932,True,-0.0005676930643581102,0.0004831193341524808,0.14444289999999993,0.7,False,1
3,-1.4358889581313803,True,0.4915584626661911,0.001176357958040221,0.24710929999999998,0.72,False,1
4,-10.0,False,nan,nan,,,False,1
5,-2.0787802278142085,True,-0.08987063071347556,0.000916891616105148,0.13811990000000007,0.6,False,1
6,-1.43235139388274,True,1.196077264601402,0.0005935836308330807,0.1164369999999999,0.74,False,1
7,-1.6021121414191648,True,0.11084060288943576,0.0006741892180979532,0.17450889999999997,0.7,False,1
8,-10.0,False,nan,nan,,,False,1
9,-1.9237221821829524,True,0.02745449457885929,0.0008442433607518123,0.12231200000000009,0.7,False,2
10,-10.0,False,nan,nan,,,False,2
11,-10.0,False,nan,nan,,,False,2
12,-10.0,False,nan,nan,,,False,2
13,-10.0,False,nan,nan,,,False,2
14,-1.5188551642978954,True,0.5106093113556369,0.0011768672790233583,0.2319867,0.68,False,2
15,-10.0,False,nan,nan,,,False,2
16,-1.7809159576019415,True,-0.013711072802978563,0.0005950955428590394,0.13744339999999988,0.68,False,2
17,-2.556452629818622,True,0.09119695661369764,0.0014192296307130423,0.030690800000000018,0.72,False,3
18,-1.8422580340538006,True,-0.03129263449849873,0.0013324933974895555,0.22289060000000005,0.66,False,3
19,-1.7333138589487262,True,-0.03363403472080684,0.001183436113797868,0.23168960000000005,0.66,False,3
20,-1.5799531760762238,True,0.29976404555189795,0.0002735490491870462,0.11422500000000002,0.7,False,3
21,-1.8602271267453516,True,0.2496891514980799,0.0011042360878227575,0.15216530000000006,0.72,False,3
22,-3.3933668053523927,True,-0.352275244275166,0.001733431104997533,0.04055060000000005,0.3,False,3
23,-2.4550124205292962,True,0.1550172822298208,0.002186012095878473,0.1465803,0.72,False,3
24,20.716714520821398,True,4.295619508131015,0.0011379995297857754,0.37508550000000007,0.88,True,3
25,-2.0946331934010063,True,0.02089968319938773,0.001063940308934938,0.10759260000000004,0.72,False,4
26,-0.8720715861938924,True,2.1969281139647023,0.0012087619150309196,0.30959099999999995,0.8,False,4
27,-2.0758509198401947,True,-0.034234055261345375,0.0007839723933156837,0.12474380000000007,0.58,False,4
28,-1.1797302709474695,True,2.3145092612857647,0.001639881116085449,0.2171768,0.84,False,4
29,-1.1605131170626304,True,2.7640178739519907,0.002163704816759921,0.33151529999999996,0.88,False,4
30,-1.7413906593600599,True,-0.035256140260621294,0.0003299103680701835,0.11597200000000019,0.68,False,4
31,-2.354573785606452,True,0.049655672352008295,0.0010665897527809096,0.04054229999999992,0.72,False,4
32,-1.0656330187737386,True,1.8893428593988917,0.0006021079438134047,0.15140999999999993,0.84,False,4
33,-1.4765229268136548,True,0.6551672966495747,0.0005874768513936939,0.14970660000000013,0.72,False,5
34,-1.801675808504666,True,1.2087717174566168,0.0008768146286470774,0.05845190000000011,0.82,False,5
35,-1.314352191378873,True,1.526199442515427,0.0014997010777680303,0.23169129999999993,0.78,False,5
36,-1.598522055427144,True,0.23311302529791966,0.00045903679438623405,0.13832299999999997,0.7,False,5
37,-1.7424367190244872,True,-0.030420206524834015,0.0007456819860800373,0.17442179999999996,0.66,False,5
38,-0.44659560253194863,True,3.0239768992100036,0.00043318320506389714,0.19249899999999998,0.88,False,5
39,-1.6969154671685498,True,0.7691691542357226,0.0017729467133513913,0.2404349,0.68,False,5
40,-1.805465615373575,True,-0.0014204940720023984,0.0005443418346991484,0.11679470000000003,0.7,False,5
41,19.669571888168544,True,4.681979350165967,0.0010902482236629103,0.26073479999999993,0.9,True,6
42,-10.0,False,nan,nan,,,False,6
43,-1.0509558079273915,True,1.9543377242165132,0.000556467431999122,0.1439579999999996,0.82,False,6
44,-1.214110414370421,True,1.0053295157604527,0.0008912013059144781,0.2240951000000001,0.7,False,6
45,-0.8200423650064409,True,3.003221043945313,0.001419591930012882,0.22243840000000004,0.8,False,6
46,19.786189032875228,True,4.432060899663849,0.0017379369890415906,0.3919834,0.92,True,6
47,-0.834033734587147,True,2.0579668758936824,0.0003695493864367492,0.166188,0.8,False,6
48,-1.9143179809228434,True,0.10449173578340165,0.0006942662618917642,0.10663899999999993,0.68,False,6
49,19.13713341899569,True,5.870373234197369,0.0019542888603347706,0.3127079000000001,0.94,True,7
50,20.007096639830845,True,3.4176454012699615,0.0013779580579048462,0.40564389999999995,0.88,True,7
51,-1.6607887503730654,True,1.434996877784818,0.0017151140859360096,0.17960900000000002,0.78,False,7
52,-0.9634812976656512,True,2.081993890654674,0.0010444329224344184,0.2161843,0.84,False,7
53,19.639652570585277,True,4.114640514795156,0.001786782476471575,0.28091639999999996,0.9,True,7
54,-1.4445377201749652,True,1.7149144448475546,0.002032351736914967,0.2933540999999999,0.7,False,7
55,-1.5484963938912462,True,5.676782474694259,0.0022404375877824925,0.14293060000000002,0.94,False,7
56,-0.6097442767716793,True,3.6273055727067174,0.0010513637535433584,0.22898439999999998,0.88,False,7
57,-1.38554113109828,True,1.1573923366488432,0.0004262371532957895,0.11044500000000013,0.82,False,8
58,-1.9019416715725723,True,1.2972165052220221,0.0017982151466264932,0.14119010000000004,0.8,False,8
59,-1.0298661190361413,True,5.38727904627615,0.0020597322380722827,0.27031910000000003,0.86,False,8
60,-1.687308134609552,True,0.12282235611597159,0.00032130012567737205,0.1223860000000001,0.66,False,8
61,-0.6932945647575867,True,8.36226256378925,0.0013207443295151727,0.2417693999999999,0.7,False,8
62,-0.7982695027897969,True,5.341971171678213,0.0012473974055795935,0.20635729999999997,0.86,False,8
63,-0.8768111726703939,True,2.763226259461023,0.0015957731849814696,0.2529467999999999,0.86,False,8
64,-1.1710392784578798,True,1.8894572793469804,0.0007390207431470792,0.14216299999999993,0.86,False,8
65,-1.5709576721758391,True,0.317631897208841,0.0005426195424909035,0.14861869999999977,0.7,False,9
66,20.568320987527883,True,5.156094657081557,0.0014347865963727994,0.33986439999999996,0.88,True,9
67,-2.5873617729830216,True,0.2797827464396092,0.001709635776925783,0.043548800000000054,0.74,False,9
68,-1.0262958846409296,True,4.019555521925864,0.0008856509692818591,0.10413240000000001,0.76,False,9
69,-0.8893067703774482,True,4.2953748968800936,0.0010842999407548964,0.1632108,0.84,False,9
70,-2.138406337285685,True,0.6821224881584539,0.0012139442000103384,0.060297899999999904,0.8,False,9
71,20.27933735896918,True,7.262620026102439,0.0014413252820616414,0.3060978000000001,0.84,True,9
72,-1.0377532011398765,True,8.869082687810025,0.0015381770308511822,0.20426240000000007,0.64,False,9
73,19.687482036791902,True,5.680188110131858,0.0017708393210693655,0.3085768000000001,0.96,True,10
74,20.682249407707822,True,6.583768122861226,0.0014392501974307263,0.3644668,0.9,True,10
75,-0.6332632957754305,True,5.882969220429734,0.0011061209915508602,0.2299492999999999,0.82,False,10
76,-0.5290355392850892,True,4.935566870999953,0.0010341702785701785,0.24701240000000002,0.9,False,10
77,19.473431917158923,True,5.040277939148455,0.0018421893609470263,0.381544,0.88,True,10
78,-1.0660382037107885,True,6.48874552775561,0.0014545308074215776,0.1653068000000001,0.74,False,10
79,-0.8446895849889248,True,5.337370250475211,0.001039023169977849,0.16870549999999995,0.78,False,10
80,19.81045938915614,True,6.121691243707917,0.0017298468702812864,0.31463310000000005,0.82,True,10
81,20.064571150577837,True,6.085220502447486,0.0015851434131300387,0.347855,0.82,True,11
82,-1.1738180529798925,True,4.768834563046776,0.0012228969059597846,0.10940759999999994,0.78,False,11
83,20.586431334058563,True,4.727319166855054,0.0013985659033114463,0.4077525000000001,0.88,True,11
84,-1.0284363949410655,True,2.301823835407406,0.0015914220134870686,0.3674304,0.82,False,11
85,-1.0228431674043357,True,7.355494960784087,0.0020456863348086714,0.2957080000000001,0.74,False,11
86,-1.0403709269500683,True,5.943538807748583,0.0020807418539001365,0.3765418,0.94,False,11
87,20.27764393861244,True,5.57731466209509,0.0009839121227751236,0.28847999999999996,0.96,True,11
88,-0.831273825514576,True,2.8957779045563257,0.001135228654066703,0.19277030000000006,0.88,False,11
89,20.07341422599863,True,6.157440506048767,0.001281742976574171,0.33514200000000005,0.8,True,12
90,19.842937957619323,True,6.96357467608475,0.0014569812276184963,0.3429561000000001,0.78,True,12
91,-0.8607503464855216,True,2.4464589382711566,0.0013524733184851476,0.37458820000000004,0.86,False,12
92,20.01604042234579,True,7.5379672022501865,0.0011107762981655692,0.32490889999999994,0.78,True,12
93,19.748545204067952,True,3.229148929730263,0.0012667393576316333,0.27581390000000017,0.88,True,12
94,20.722613014393556,True,5.808933853129541,0.000950049971212882,0.30988189999999993,0.92,True,12
95,20.646309020915044,True,3.764906286761697,0.0012570695807089017,0.3877005,0.88,True,12
96,20.293595821607575,True,6.599295675789023,0.001127094071070569,0.32714029999999994,0.82,True,12
