time_s,differential_output_v
0.0,-0.2710755
2e-14,-0.2710755
4e-14,-0.2710755
8e-14,-0.2710755
1.6e-13,-0.2710755
3.2e-13,-0.2710755
6.4e-13,-0.2710755
1.28e-12,-0.2710755
2.56e-12,-0.2710755
4.56e-12,-0.2710755
6.56e-12,-0.2710755
8.56e-12,-0.2710755
1.056e-11,-0.2710755
1.256e-11,-0.2710755
1.456e-11,-0.2710755
1.656e-11,-0.2710755
1.856e-11,-0.2710755
2.056e-11,-0.2710755
2.256e-11,-0.2710755
2.456e-11,-0.2710755
2.656e-11,-0.2710755
2.856e-11,-0.2710755
3.056e-11,-0.2710755
3.256e-11,-0.2710755
3.456e-11,-0.2710755
3.656e-11,-0.2710755
3.856e-11,-0.2710755
4.056e-11,-0.2710755
4.256e-11,-0.2710755
4.456e-11,-0.2710755
4.656e-11,-0.2710755
4.856e-11,-0.2710755
5.056e-11,-0.2710755
5.256e-11,-0.2710755
5.456e-11,-0.2710755
5.656e-11,-0.2710755
5.856e-11,-0.2710755
6.056e-11,-0.2710755
6.256e-11,-0.2710755
6.456e-11,-0.2710755
6.656e-11,-0.2710755
6.856e-11,-0.2710755
7.056e-11,-0.2710755
7.256e-11,-0.2710755
7.456e-11,-0.2710755
7.656e-11,-0.2710755
7.856e-11,-0.2710755
8.056e-11,-0.2710755
8.256e-11,-0.2710755
8.456e-11,-0.2710755
8.656e-11,-0.2710755
8.856e-11,-0.2710755
9.056e-11,-0.2710755
9.256e-11,-0.2710755
9.456e-11,-0.2710755
9.656e-11,-0.2710755
9.856e-11,-0.2710755
1.0056e-10,-0.2710755
1.0256e-10,-0.2710755
1.0456e-10,-0.2710755
1.0656e-10,-0.2710755
1.0856e-10,-0.2710755
1.1056e-10,-0.2710755
1.1256e-10,-0.2710755
1.1456e-10,-0.2710755
1.1656e-10,-0.2710755
1.1856e-10,-0.2710755
1.2056e-10,-0.2710755
1.2256e-10,-0.2710755
1.2456e-10,-0.2710755
1.2656e-10,-0.2710755
1.2856e-10,-0.2710755
1.3056e-10,-0.2710755
1.3256e-10,-0.2710755
1.3456e-10,-0.2710755
1.3656e-10,-0.2710755
1.3856e-10,-0.2710755
1.4056e-10,-0.2710755
1.4256e-10,-0.2710755
1.4456e-10,-0.2710755
1.4656e-10,-0.2710755
1.4856e-10,-0.2710755
1.5056e-10,-0.2710755
1.5256e-10,-0.2710755
1.5456e-10,-0.2710755
1.5656e-10,-0.2710755
1.5856e-10,-0.2710755
1.6056e-10,-0.2710755
1.6256e-10,-0.2710755
1.6456e-10,-0.2710755
1.6656e-10,-0.2710755
1.6856e-10,-0.2710755
1.7056e-10,-0.2710755
1.7256e-10,-0.2710755
1.7456e-10,-0.2710755
1.7656e-10,-0.2710755
1.7856e-10,-0.2710755
1.8056e-10,-0.2710755
1.8256e-10,-0.2710755
1.8456e-10,-0.2710755
1.8656e-10,-0.2710755
1.8856e-10,-0.2710755
1.9056e-10,-0.2710755
1.9256e-10,-0.2710755
1.9456e-10,-0.2710755
1.9656e-10,-0.2710755
1.9828e-10,-0.2710755
2e-10,-0.2710755
2.002e-10,-0.2710762
2.006e-10,-0.2710798
2.014e-10,-0.2710969
2.03e-10,-0.2711466
2.05e-10,-0.2711772
2.07e-10,-0.2711047000000001
2.09e-10,-0.2708721999999999
2.11e-10,-0.27043969999999995
2.13e-10,-0.2697796
2.15e-10,-0.26887400000000006
2.17e-10,-0.26771220000000007
2.19e-10,-0.26628929999999995
2.21e-10,-0.2646041
2.23e-10,-0.26265879999999997
2.25e-10,-0.2604580999999999
2.27e-10,-0.258008
2.29e-10,-0.25531629999999994
2.31e-10,-0.2523911
2.33e-10,-0.2492415
2.35e-10,-0.24587710000000007
2.37e-10,-0.24230739999999995
2.39e-10,-0.23854209999999998
2.41e-10,-0.23459129999999995
2.43e-10,-0.2304644
2.45e-10,-0.22617109999999996
2.47e-10,-0.2217209
2.49e-10,-0.2171231
2.51e-10,-0.21238690000000005
2.53e-10,-0.20752110000000001
2.55e-10,-0.2025344
2.57e-10,-0.19743520000000003
2.59e-10,-0.19223179999999995
2.61e-10,-0.18693209999999993
2.63e-10,-0.18154400000000004
2.65e-10,-0.17607479999999998
2.67e-10,-0.17053200000000002
2.69e-10,-0.16492250000000008
2.71e-10,-0.15925319999999998
2.73e-10,-0.15353060000000007
2.75e-10,-0.14776120000000004
2.77e-10,-0.14195099999999994
2.79e-10,-0.13610600000000006
2.81e-10,-0.13023190000000007
2.83e-10,-0.12433430000000001
2.85e-10,-0.11841840000000003
2.87e-10,-0.11248919999999996
2.89e-10,-0.10655179999999997
2.91e-10,-0.10061069999999994
2.93e-10,-0.09467039999999993
2.95e-10,-0.08873520000000001
2.97e-10,-0.08280920000000003
