timestep,reward,dc_valid,peaking_boost,power,eye_vertical_v,eye_horizontal_ui,all_specs_met,generation
1,-10.0,False,nan,nan,,,False,1
2,-1.4214025941678916,True,0.9927816088079151,0.0005501715942077269,0.13068900000000006,0.7,False,1
3,-0.8790064205262547,True,2.377725515479879,0.0012836779275629054,0.24970720000000002,0.68,False,1
4,19.21070772921094,True,4.510075604353474,0.0019297640902630193,0.32912090000000005,0.9,True,1
5,-0.8969591074350218,True,2.7365272015546456,0.0014062480825731407,0.2234973,0.82,False,1
6,-10.0,False,nan,nan,,,False,1
7,-0.556113424672561,True,2.8291716388497186,0.0002538452752449328,0.1569379999999998,0.8,False,1
8,-0.6022902823422567,True,5.331269149212238,0.000778788564684514,0.19677600000000006,0.76,False,1
9,-1.7706387008157303,True,1.9831140582324203,0.0014148479547387873,0.10465109999999989,0.6,False,2
10,-0.6978058346942214,True,2.959665201750706,0.0013687218038889136,0.3258625999999999,0.84,False,2
11,20.354190781472326,True,6.627759855871762,0.001548603072842558,0.3356029999999999,0.88,True,2
12,-0.5049388224965792,True,6.217911147093377,0.0007467456449931578,0.21710849999999993,0.7,False,2
13,-0.6455525149376466,True,2.363720703959526,0.0003725972325149779,0.1882098000000001,0.78,False,2
14,-0.9043693036106747,True,2.9916377307514033,0.0013445973610556178,0.19267919999999994,0.74,False,2
15,-1.182909142248386,True,1.4910048353659633,0.0008198077937883662,0.19678399999999996,0.66,False,2
16,-0.5390209768918509,True,6.37017070444745,0.0004669307537837011,0.1736110999999999,0.76,False,2
17,21.09178711313362,True,5.5903972048324295,0.0012449972023041908,0.3673951,0.94,True,3
18,-0.537523197310068,True,4.54997264467466,0.000618483994620137,0.1929297000000001,0.84,False,3
19,19.514433155912396,True,8.464819325819757,0.0012434176881751982,0.25680709999999984,0.76,True,3
20,-0.9517724533055094,True,9.869242788654919,0.0012503859351824477,0.1897837,0.64,False,3
21,-0.9356126886265658,True,8.087264914093122,0.0016579368058245606,0.24476750000000003,0.64,False,3
22,-1.1375126293233353,True,9.64346675414108,0.001581032458646671,0.21325090000000002,0.56,False,3
23,-0.4608998594813796,True,5.31778142680499,0.0008370861189627596,0.23941080000000003,0.74,False,3
24,-0.720335407919671,True,4.182256459250237,0.0014311084158393419,0.2488047,0.86,False,3
