time_s,differential_output_v
0.0,-0.3145989
2e-14,-0.3145989
4e-14,-0.3145989
8e-14,-0.3145989
1.6e-13,-0.3145989
3.2e-13,-0.3145989
6.4e-13,-0.3145989
1.28e-12,-0.3145989
2.56e-12,-0.3145989
4.56e-12,-0.3145989
6.56e-12,-0.3145989
8.56e-12,-0.3145989
1.056e-11,-0.3145989
1.256e-11,-0.3145989
1.456e-11,-0.3145989
1.656e-11,-0.3145989
1.856e-11,-0.3145989
2.056e-11,-0.3145989
2.256e-11,-0.3145989
2.456e-11,-0.3145989
2.656e-11,-0.3145989
2.856e-11,-0.3145989
3.056e-11,-0.3145989
3.256e-11,-0.3145989
3.456e-11,-0.3145989
3.656e-11,-0.3145989
3.856e-11,-0.3145989
4.056e-11,-0.3145989
4.256e-11,-0.3145989
4.456e-11,-0.3145989
4.656e-11,-0.3145989
4.856e-11,-0.3145989
5.056e-11,-0.3145989
5.256e-11,-0.3145989
5.456e-11,-0.3145989
5.656e-11,-0.3145989
5.856e-11,-0.3145989
6.056e-11,-0.3145989
6.256e-11,-0.3145989
6.456e-11,-0.3145989
6.656e-11,-0.3145989
6.856e-11,-0.3145989
7.056e-11,-0.3145989
7.256e-11,-0.3145989
7.456e-11,-0.3145989
7.656e-11,-0.3145989
7.856e-11,-0.3145989
8.056e-11,-0.3145989
8.256e-11,-0.3145989
8.456e-11,-0.3145989
8.656e-11,-0.3145989
8.856e-11,-0.3145989
9.056e-11,-0.3145989
9.256e-11,-0.3145989
9.456e-11,-0.3145989
9.656e-11,-0.3145989
9.856e-11,-0.3145989
1.0056e-10,-0.3145989
1.0256e-10,-0.3145989
1.0456e-10,-0.3145989
1.0656e-10,-0.3145989
1.0856e-10,-0.3145989
1.1056e-10,-0.3145989
1.1256e-10,-0.3145989
1.1456e-10,-0.3145989
1.1656e-10,-0.3145989
1.1856e-10,-0.3145989
1.2056e-10,-0.3145989
1.2256e-10,-0.3145989
1.2456e-10,-0.3145989
1.2656e-10,-0.3145989
1.2856e-10,-0.3145989
1.3056e-10,-0.3145989
1.3256e-10,-0.3145989
1.3456e-10,-0.3145989
1.3656e-10,-0.3145989
1.3856e-10,-0.3145989
1.4056e-10,-0.3145989
1.4256e-10,-0.3145989
1.4456e-10,-0.3145989
1.4656e-10,-0.3145989
1.4856e-10,-0.3145989
1.5056e-10,-0.3145989
1.5256e-10,-0.3145989
1.5456e-10,-0.3145989
1.5656e-10,-0.3145989
1.5856e-10,-0.3145989
1.6056e-10,-0.3145989
1.6256e-10,-0.3145989
1.6456e-10,-0.3145989
1.6656e-10,-0.3145989
1.6856e-10,-0.3145989
1.7056e-10,-0.3145989
1.7256e-10,-0.3145989
1.7456e-10,-0.3145989
1.7656e-10,-0.3145989
1.7856e-10,-0.3145989
1.8056e-10,-0.3145989
1.8256e-10,-0.3145989
1.8456e-10,-0.3145989
1.8656e-10,-0.3145989
1.8856e-10,-0.3145989
1.9056e-10,-0.3145989
1.9256e-10,-0.3145989
1.9456e-10,-0.3145989
1.9656e-10,-0.3145989
1.9828e-10,-0.3145989
2e-10,-0.3145989
2.002e-10,-0.3145993
2.006e-10,-0.3146030000000001
2.014e-10,-0.3146209
2.03e-10,-0.3146854
2.05e-10,-0.31477639999999996
2.07e-10,-0.31483059999999996
2.09e-10,-0.3148017000000001
2.11e-10,-0.3146555000000001
2.13e-10,-0.3143612
2.15e-10,-0.3138982
2.17e-10,-0.31324869999999994
2.19e-10,-0.3124011
2.21e-10,-0.31134510000000004
2.23e-10,-0.31007399999999985
2.25e-10,-0.3085861000000001
2.27e-10,-0.3068773
2.29e-10,-0.3049486000000001
2.31e-10,-0.30280209999999985
2.33e-10,-0.30043960000000003
2.35e-10,-0.29786460000000003
2.37e-10,-0.29508160000000005
2.39e-10,-0.2920956
2.41e-10,-0.2889121
2.43e-10,-0.2855369
2.45e-10,-0.2819764
2.47e-10,-0.2782372000000001
2.49e-10,-0.27432580000000006
2.51e-10,-0.2702491
2.53e-10,-0.2660142
2.55e-10,-0.2616279
2.57e-10,-0.2570973
2.59e-10,-0.2524294
2.61e-10,-0.2476311
2.63e-10,-0.2427094999999999
2.65e-10,-0.23767120000000008
2.67e-10,-0.23252309999999998
2.69e-10,-0.22727199999999992
2.71e-10,-0.22192409999999996
2.73e-10,-0.21648610000000001
2.75e-10,-0.21096419999999994
2.77e-10,-0.20536470000000007
2.79e-10,-0.19969349999999997
2.81e-10,-0.19395660000000003
2.83e-10,-0.18815970000000004
2.85e-10,-0.18230829999999998
2.87e-10,-0.17640809999999996
2.89e-10,-0.1704641
2.91e-10,-0.16448170000000006
2.93e-10,-0.15846590000000005
2.95e-10,-0.15242139999999993
2.97e-10,-0.14635279999999995
2.99e-10,-0.14026499999999997
3.01e-10,-0.1341621999999999
3.03e-10,-0.12804840000000006
3.05e-10,-0.12192800000000004
3.07e-10,-0.11580489999999999
3.09e-10,-0.10968279999999997
3.11e-10,-0.10356529999999997
3.13e-10,-0.09745589999999993
3.15e-10,-0.09135799999999994
3.17e-10,-0.08527490000000004
3.19e-10,-0.07920970000000005
3.21e-10,-0.07316509999999998
3.23e-10,-0.06714400000000009
3.25e-10,-0.06114929999999996
3.27e-10,-0.055183299999999935
3.29e-10,-0.04924849999999992
3.31e-10,-0.04334720000000003
3.33e-10,-0.037481600000000004
3.35e-10,-0.03165370000000001
3.37e-10,-0.025865600000000044
3.39e-10,-0.020119100000000056
3.41e-10,-0.014415900000000037
3.43e-10,-0.008757499999999974
3.45e-10,-0.0031457999999999764
3.47e-10,0.0024181000000000896
3.49e-10,0.007932799999999962
3.51e-10,0.013396900000000045
3.53e-10,0.018809399999999976
3.55e-10,0.024169200000000002
3.57e-10,0.029475299999999982
