evaluation,score,dc_valid,peaking_boost,power
1,-0.5423507183734845,True,7.9583507183734845,0.0012599999999999998
2,-0.22495449399254736,True,7.678954493992547,0.00069
3,-100.0,False,,
4,-6.01570251603887,True,1.51185140605741,0.0004133088314442106
5,-100.0,False,,
6,-100.0,False,,
7,-2.8592039588298426,True,10.247298325634866,0.0016785844979246567
8,-2.0313588402885867,True,5.559034667122244,0.0013559026111624607
9,-4.527013523560514,True,3.019491707823259,0.0006975784707566026
10,-5.641080459704322,True,13.03660523170431,0.0015671284200001708
11,-1.3159960498088479,True,8.732318678173584,0.0012551605745289567
12,-3.4880551767685337,True,10.832355064629505,0.0023355016820854283
13,-6.215255093445254,True,1.3510008496888908,0.000993839147012175
14,-0.9692870914493223,True,6.68956461625611,0.002382775615581485
15,-5.281142299094718,True,2.279557487991953,0.0009104968063000604
16,-5.042388224677127,True,12.455625575413633,0.0013014397389524166
17,-4.050292322346145,True,3.5669112297973125,0.0017580532821518655
18,-0.8380226489439849,True,8.211041040586633,0.001904724125360286
19,-100.0,False,,
20,-2.798828526006839,True,10.222884513138409,0.0011391601930264526
21,-4.07556933072696,True,3.5835136743552303,0.0023862450762328602
22,-4.720482524356612,True,2.9203194149203675,0.0021120290891546937
23,-5.0452893076061,True,12.395087199114872,0.002253031627368413
24,-100.0,False,,
25,-2.765938284884141,True,4.809352881808909,0.00112936750039575
26,-0.46882199796870294,True,7.124620130194089,0.001401631922441873
27,-1.6674154466438198,True,5.873806473938927,0.0006183288087412055
28,-7.590259346262854,True,0.05562603223348894,0.0021882806774451403
29,-2.1180353000311354,True,5.51497359526579,0.001995133429453881
30,-100.0,False,,
31,-5.688712408115545,True,1.9073346623440939,0.0014407060568945777
32,-6.355080141305613,True,13.712659830693312,0.002136304659184506
33,-6.388003672699357,True,1.1419133474798606,0.0004487553026882642
34,-4.549775175129146,True,3.0530208557490592,0.0015419404631730833
35,-5.9601925139404,True,1.6007901373038642,0.0009147397686639586
36,-100.0,False,,
37,-3.767929219792455,True,3.884924070400306,0.002292799352891411
38,-5.694213461486324,True,1.8656504110538936,0.0008979580881032637
39,-3.5867226945346977,True,11.037164503391843,0.0007433728671428278
40,-100.0,False,,
41,-2.4231968261999803,True,9.78274516469132,0.002106774922629902
42,-0.9780280196688498,True,6.596884651579934,0.00112369006873176
43,-0.6137661884494148,True,8.047440067167827,0.0009948918192238206
44,-1.8839505270007253,True,5.683220778898388,0.0010075695884867
45,-0.5839953791313385,True,6.938932279355889,0.00034391487730841153
46,-6.785496238208498,True,0.8360025560230255,0.001822481913472843
47,-6.065668669904126,True,1.4767808543094656,0.0006367428632038739
48,-1.7118975218860149,True,9.176749042123797,0.000527227196433268
49,-1.3343472954915054,True,8.792733135850922,0.0006242123946087564
50,-4.011796158811255,True,3.5536137137218438,0.0009811480879964795
51,-7.2005910899202865,True,0.41302934149128845,0.0017043064711736269
52,-4.124025684254736,True,3.531029490678499,0.0023258276239985216
53,-6.767841633039813,True,0.8633689993053899,0.0019681594851780433
54,-3.8913175909722497,True,3.70507278043676,0.0014458555711351492
55,-6.295121449195489,True,1.2566675094417197,0.0007768343795581237
56,-3.765345337227971,True,3.812909900559088,0.0011738285668058868
57,-7.214844706796736,True,14.570897393078347,0.0021592097057758393
58,-7.102065484237987,True,14.509586869793456,0.0013871792166679732
59,-100.0,False,,
60,-1.5815365258236609,True,9.047368579201812,0.0005125191993277289
61,-100.0,False,,
62,-2.742071276975886,True,10.111327973131427,0.001961149557666882
63,-4.869310539127404,True,2.647464143490856,0.0002516202392738927
64,-0.2192553142370821,True,7.5977182761679245,0.001823055571037364
65,-3.4283092139026734,True,10.837475445747643,0.0013625065223254564
66,-3.580937271629446,True,10.93748133642006,0.0021518390281407957
67,-5.70245621042728,True,13.120947901464703,0.0012226246344386558
68,-0.8128763773834564,True,8.249105026711169,0.0009565702600843181
69,-5.263440246222454,True,2.3700637191789937,0.00200255948102172
70,-100.0,False,,
71,-2.5535632096535297,True,5.061299802640527,0.0017229451844108562
72,-6.115424715584383,True,13.490129280923602,0.0018794315199117066
73,-5.237259172013577,True,2.3729968124573895,0.001653839767064479
74,-7.508119805313555,True,0.018732597207899992,0.00040278603782182106
75,-3.5353539742122577,True,4.079406206703672,0.0017214027137389366
76,-3.6319534558491453,True,10.98937755053651,0.002138638579689534
77,-4.588672414470432,True,12.00607072773924,0.0012390253009678643
78,-1.598820338725821,True,8.989361878224983,0.0016418769075125705
79,-7.6274587165544885,True,0.0062062387139114605,0.002004974329026005
80,-5.592902122095259,True,1.9696103107423477,0.0009376864925640927
81,-100.0,False,,
82,-2.9077092229247574,True,10.253594025729644,0.0023117279579267067
83,-2.8049950975837556,True,10.173274522829324,0.0019758086213164765
84,-5.26799696250139,True,2.3057218652275697,0.0011057824159343942
85,-7.282294776637683,True,0.2972698413701611,0.0011934692701176647
86,-7.606188233637281,True,0.00528754347095628,0.0016721366566235514
87,-100.0,False,,
88,-4.656658886349783,True,12.073614448387596,0.0012456665694328048
89,-4.12138022959747,True,3.416100590113354,0.0005622122956623665
90,-0.791459560598887,True,8.197696772235119,0.0014064418254565196
91,-5.568559723376377,True,1.9830378620997031,0.000773963782141208
92,-3.641855797428266,True,11.01734118738248,0.001867719150686805
93,-1.8251617073409396,True,5.7779971639503795,0.0015473830693697886
94,-2.6470592874568037,True,10.02574582305288,0.0018197019660588613
95,-100.0,False,,
96,-0.3301388858308699,True,7.780263623659274,0.0007481289325739362
97,-3.69320526630213,True,3.8344523558073487,0.0004148643316421778
98,-0.648684623307705,True,7.000094424725168,0.0022316857204930916
99,-100.0,False,,
100,-5.318318886528251,True,2.2629077220284275,0.001218399128350182
